year,month,u2_min,u2_max,tmin_min,tmin_max,tmax_min,tmax_max,rs_min,rs_max,rh_min,rh_max,eto_min,eto_max,pr_min,pr_max,flow_next_month,flow_next_month_max,flow_next_month_min
1998,1,0.6515113030226061,0.9144018288036576,15.944931810820682,19.806803067996224,25.837910289364693,30.800594028019933,19.62181229362459,20.141211582423164,75.85725171450343,77.7749555499111,3.8270256540513072,4.330581661163321,172.4837488937041,269.74318674275946,135.5,240.09999999999997,74.4
1998,2,0.6053149606299213,0.8415354330708661,16.485183263649404,20.09781182287057,25.699789422284617,30.0068666646321,16.768011811023623,17.022876827896514,79.51349831271091,79.87104290535112,3.3697272215973,3.630202474690663,166.7203283791619,320.39857173375646,106.5967741935,163.40000000000003,67.6
1998,3,0.5581661163322327,0.9391668783337568,15.764242545361828,19.450937558145142,24.801324503311257,29.431159595068603,15.261391922783847,16.29222758445517,78.13055626111252,79.33705867411734,3.015557531115061,3.2821945643891284,139.14609210486165,221.71086764122435,70.7033333333,111.29999999999998,45.0
1998,4,0.6230314960629921,1.0098425196850394,13.424624368012534,17.255928220465712,22.816563412376272,27.17403688670512,13.489015748031498,14.19665354330709,77.03412073490813,79.09448818897637,2.399540682414698,2.707480314960629,44.16638691366308,90.88717307046718,100.8032258065,198.90000000000003,28.6
1998,5,0.6791338582677164,0.91249682499365,9.173770424020232,13.069891324572223,19.973847606315168,23.58019033705233,11.286931673863348,11.94230378460757,77.41935483870968,78.98780797561595,1.7698755397510793,1.953136906273812,78.59584337900932,125.9895626697592,60.4933333333,98.1,24.9
1998,6,0.6338582677165354,1.0334645669291338,6.844691305276649,11.023356832585629,18.06401766004415,22.22438225450402,11.102608267716535,11.308129921259845,77.29658792650918,79.2749343832021,1.5081364829396322,1.801574803149606,7.148197882015438,22.83165990173036,50.6129032258,58.89999999999999,44.39999999999999
1998,7,0.6581788163576328,0.8801117602235204,7.548659794423382,11.92152903639283,18.77641943064275,23.33541220169388,11.293688087376175,12.371577343154687,75.48532239921623,78.52108204216408,1.693103886207772,1.8656337312674625,9.755241554002453,31.96089053010646,49.4129032258,62.5,41.0
1998,8,0.7343789687579374,1.07251714503429,10.57504255363136,14.38336859369724,20.131520008820832,25.94582767674401,12.820215265430532,13.25473710947422,75.83185166370332,77.57175514351029,2.0926466852933703,2.461645923291846,11.039307840205057,48.30011902218688,69.27,127.0,31.6
1998,9,0.8622047244094488,1.1043307086614174,11.336110517695648,15.195115003916545,19.3841059602649,25.25621305988749,13.201023622047243,14.328307086614174,77.0172478440195,80.63320209973753,2.3995406824146976,2.644356955380577,110.5533005767998,174.95574816125978,94.7806451613,173.3,52.10000000000001
1998,10,0.932975615951232,1.223012446024892,11.654905555057852,15.523461350276683,19.26390831845966,24.982151594296777,14.468357886715776,15.254876809753622,80.18796037592075,81.18491236982474,2.649034798069596,2.9602489204978406,143.87035737174597,250.57489242225407,62.7033333333,91.29999999999998,42.7
1998,11,0.9173228346456692,1.3051181102362206,11.816064943388168,15.825464644306772,20.188350067649363,26.82681763156021,17.357273622047245,18.09015748031496,76.22047244094487,78.06430446194226,3.1817585301837266,3.6372703412073486,43.11578722495196,128.05348586775017,73.164516129,133.5,46.8
1998,12,0.8286766573533146,1.1868173736347472,14.50355245294981,18.381411471218584,23.200205360034733,28.84870891937896,17.908699517399036,18.38430276860554,75.67945135890271,77.68605537211074,3.477012954025908,3.940944881889763,142.70302438428908,213.09320352793964,157.5483870968,349.0,58.0
1999,1,0.7639065278130557,0.9353568707137414,16.011363714673593,19.77179538422311,24.496454438326523,29.62466663450737,16.45220980441961,17.580772161544324,80.53086106172212,81.48971297942596,3.429133858267716,3.599187198374396,223.7674336985381,367.2566911832026,162.14285714290003,251.0,92.0
1999,2,0.732916197975253,1.09251968503937,15.740379039887692,19.50819421979431,25.057374797814877,29.9916074098941,16.69507874015748,17.740987064116986,80.11811023622047,81.4679415073116,3.384350393700787,3.6539651293588298,182.74769585253452,317.1890926847133,103.5483870968,186.0,55.0
1999,3,0.786766573533147,1.047752095504191,14.720903308501772,18.600829709670528,24.057342310369307,29.083012314710807,16.44460883921768,16.974142748285498,77.44475488950977,79.08940817881634,3.0444500889001778,3.51003302006604,99.4247260963774,181.6541795098727,80.6,172.0,37.0
1999,4,0.7372047244094487,1.06496062992126,11.898241116570537,15.743858149967956,21.60200811792352,26.5684682760094,14.50615157480315,15.053149606299211,76.15485564304461,77.48031496062991,2.45498687664042,2.794488188976378,31.53172399060027,105.05702601484944,51.096774193499996,108.0,0.0
1999,5,0.7791465582931165,1.1410972821945644,8.381480383981918,12.11159043766496,19.106925043587324,23.723804535838084,12.58965265430531,13.10923291846584,73.81254762509525,75.32067564135127,1.887096774193548,2.2222504445008884,18.3545945616016,35.4319895016327,58.7,142.0,33.0
1999,6,0.6771653543307086,0.998031496062992,8.140710674357331,11.890550452182584,17.810225735241758,22.517482019511498,10.279212598425197,11.176102362204729,80.15748031496062,82.03412073490813,1.4944881889763777,1.7077427821522306,40.86867122409739,82.85145878475291,49.7741935484,81.0,22.0
1999,7,0.6877063754127508,1.0972821945643891,8.202376112079719,12.417425281336357,17.912115552921556,23.54104788747924,11.63446469392939,12.082921640843283,77.8511557023114,80.14351028702058,1.6361442722885444,1.966344932689865,1.826532792138437,44.13892025513469,40.903225806500004,99.0,-13.0
